NAME : network64   
COMMENT : Walters and Lohbeck (1993)
TYPE : Network   
DIMENSION : 64   
EDGE_WEIGHT_TYPE : EUC_2D   
NODE_COORD_SECTION     
1 0 0   
2 10 0   
3 0 10   
4 20 0   
5 10 10   
6 0 20   
7 30 0   
8 20 10   
9 10 20   
10 0 30   
11 40 0   
12 30 10   
13 20 20   
14 10 30   
15 0 40   
16 50 0   
17 40 10   
18 30 20   
19 20 30   
20 10 40   
21 0 50   
22 60 0   
23 50 10   
24 40 20   
25 30 30   
26 20 40   
27 10 50   
28 0 60   
29 70 0   
30 60 10   
31 50 20   
32 40 30   
33 30 40   
34 20 50   
35 10 60   
36 0 70   
37 70 10   
38 60 20   
39 50 30   
40 40 40   
41 30 50   
42 20 60   
43 10 70   
44 70 20   
45 60 30   
46 50 40   
47 40 50   
48 30 60   
49 20 70   
50 70 30   
51 60 40   
52 50 50   
53 40 60   
54 30 70   
55 70 40   
56 60 50   
57 50 60   
58 40 70   
59 70 50   
60 60 60   
61 50 70   
62 70 60   
63 60 70   
64 70 70   
EOF     
